Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
1436,Rectangle,25.841401027655422,161.3370534004996,10.0,5.0,6.626233638669343,#000000,#80FF00,True
1421,Rectangle,78.27662836825823,121.0816040466326,5.0,10.0,63.0,#000000,#80FF00,True
1420,Rectangle,70.4234234498843,127.71548515322797,5.0,5.0,-24.0,#000000,#80FF00,True
1419,Rectangle,79.51156571346962,104.74087581956712,5.0,10.0,157.0,#000000,#80FF00,True
52,Triangle,76.29700291190346,87.12899373399125,10.0,10.0,60.0,#000000,#80FF00,True
1414,Rectangle,73.69865333321684,92.38541948363377,10.0,10.0,103.96375653206123,#000000,#80FF00,True
1412,Rectangle,51.94907000173714,28.54532222630837,5.0,10.0,15.0,#000000,#80FF00,True
1411,Rectangle,58.30885961111301,27.13203564644732,5.0,10.0,15.0,#000000,#80FF00,True
1409,Rectangle,40.09030534452944,29.452507481200882,10.0,10.0,-2.1691318465723715,#000000,#80FF00,True
1408,Rectangle,28.380941037039975,28.448761010686667,10.0,10.0,12.094757077012567,#000000,#80FF00,True
1407,Rectangle,58.723462751196564,36.121040219410816,5.0,10.0,77.0,#000000,#80FF00,True
1406,Rectangle,77.02841746607982,27.729376217853883,5.0,10.0,21.0,#000000,#80FF00,True
1405,Rectangle,65.13695944842561,27.97715860562539,10.0,10.0,-160.92430538390414,#000000,#80FF00,True
1404,Rectangle,83.65269718581186,30.2180784729851,10.0,10.0,-150.6414476229395,#000000,#80FF00,True
1403,Rectangle,93.79737582748231,36.33973407080441,10.0,10.0,-143.24934417890614,#000000,#80FF00,True
1402,Rectangle,102.44346944604263,44.48502311669256,10.0,10.0,-130.2322943859572,#000000,#80FF00,True
51,Triangle,81.92652520142343,36.75810800784541,10.0,10.0,-106.0,#000000,#80FF00,True
1400,Rectangle,97.06600436654355,57.878615978939024,10.0,10.0,-26.0,#000000,#80FF00,True
50,Triangle,93.14095421262357,46.66418696773883,10.0,10.0,-108.0,#000000,#80FF00,True
1397,Rectangle,11.834969647420849,7.852398087293068,5.0,10.0,69.0,#000000,#80FF00,True
1396,Rectangle,25.51821140411272,38.79237062364268,5.0,10.0,17.0,#000000,#80FF00,True
49,Triangle,52.98960224055361,43.441880530819844,10.0,10.0,-74.0,#000000,#80FF00,True
1395,Rectangle,30.85680567489237,41.080650883301246,10.0,10.0,-162.71399321841645,#000000,#80FF00,True
1394,Rectangle,42.14797199618988,41.02135582789094,10.0,10.0,-169.69093721097374,#000000,#80FF00,True
1393,Rectangle,60.729250450097425,43.58579065155129,10.0,10.0,164.98163936884944,#000000,#80FF00,True
1392,Rectangle,71.07900878907236,40.102969984066476,10.0,10.0,164.86416449625202,#000000,#80FF00,True
1387,Rectangle,7.329128339497402,-0.649141231320641,10.0,10.0,-111.93527445002042,#000000,#80FF00,True
1383,Rectangle,19.150915082175914,-0.35206803883249904,10.0,10.0,-104.09839467642261,#000000,#80FF00,True
1382,Rectangle,20.242805591883894,11.63998418968788,10.0,10.0,-84.68917952069278,#000000,#80FF00,True
1381,Rectangle,18.334717222415748,22.934934341995927,10.0,10.0,-76.60750224624869,#000000,#80FF00,True
1380,Rectangle,52.2229119551925,54.493605261090124,5.0,10.0,17.0,#000000,#80FF00,True
1379,Rectangle,58.36763621545924,55.59965562793843,5.0,10.0,19.0,#000000,#80FF00,True
1378,Rectangle,24.202969328375787,49.58787671784671,5.0,5.0,14.0,#000000,#80FF00,True
1377,Rectangle,22.384790846642886,55.0319114568905,5.0,10.0,13.0,#000000,#80FF00,True
1376,Rectangle,30.933972426144408,62.09427884865249,5.0,10.0,107.0,#000000,#80FF00,True
1375,Rectangle,29.084453633280475,53.45217138241799,10.0,10.0,14.0,#000000,#80FF00,True
1374,Rectangle,41.008076169215144,51.968377285996894,10.0,10.0,8.0,#000000,#80FF00,True
1373,Rectangle,39.770930607657704,63.302315376190904,10.0,10.0,14.0,#000000,#80FF00,True
1372,Rectangle,15.512681366285392,34.22328985537945,10.0,10.0,12.0,#000000,#80FF00,True
1371,Rectangle,12.7935780980647,45.16142134021652,10.0,10.0,12.0,#000000,#80FF00,True
1370,Rectangle,62.362820524189374,118.91026831539534,10.0,10.0,-26.0,#000000,#80FF00,True
