Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
346,Rectangle,176.39665901341965,209.21043091180746,5.0,10.0,83.0,#000000,#FF0000,True
345,Rectangle,160.54327042193142,207.36701363372737,5.0,10.0,67.0,#000000,#FF0000,True
344,Rectangle,170.98930166438493,204.1717570183887,5.0,10.0,75.0,#000000,#FF0000,True
343,Rectangle,182.1726998180706,202.69702319592483,5.0,10.0,87.0,#000000,#FF0000,True
342,Rectangle,183.27875018491852,194.2173037167566,5.0,10.0,-1.0,#000000,#FF0000,True
341,Rectangle,144.89356050496048,203.9259680479782,10.0,10.0,-26.0,#000000,#FF0000,True
340,Rectangle,155.21669726220875,199.2559776101753,10.0,10.0,-22.0,#000000,#FF0000,True
339,Rectangle,166.03141196027815,195.93782650963124,10.0,10.0,-14.0,#000000,#FF0000,True
338,Rectangle,177.44057016948136,199.4734340474884,5.0,5.0,-10.0,#000000,#FF0000,True
337,Rectangle,180.73506890387085,217.13704984836477,5.0,10.0,45.0,#000000,#FF0000,True
336,Rectangle,207.76688603832878,204.8587066220495,5.0,10.0,25.0,#000000,#FF0000,True
334,Rectangle,150.76464907404227,212.00448299971083,5.0,10.0,61.0,#000000,#FF0000,True
333,Rectangle,157.73533514056987,224.36309961478105,5.0,5.0,-26.0,#000000,#FF0000,True
332,Rectangle,169.75952328700816,222.98233569358723,5.0,10.0,75.0,#000000,#FF0000,True
329,Rectangle,185.3485467991933,211.59550939280643,5.0,5.0,12.0,#000000,#FF0000,True
316,Rectangle,200.0226094719003,196.237730113647,10.0,5.0,-164.58641846249583,#000000,#FF0000,True
315,Rectangle,210.23482283033786,200.2506801404652,10.0,5.0,-154.519214200914,#000000,#FF0000,True
314,Rectangle,219.5722218578627,205.96430738072848,10.0,5.0,-145.77803322244546,#000000,#FF0000,True
313,Rectangle,142.17786669285067,186.6504093249489,10.0,5.0,140.23889135296292,#000000,#FF0000,True
312,Rectangle,152.50096311109377,182.397264608343,10.0,5.0,161.39046324874096,#000000,#FF0000,True
311,Rectangle,162.9315695798408,178.79500403599326,10.0,5.0,164.7494944928668,#000000,#FF0000,True
310,Rectangle,174.20846574563086,177.04929147520312,10.0,5.0,177.82125448301937,#000000,#FF0000,True
309,Rectangle,184.86929108895015,177.04733920584476,10.0,5.0,178.85168603401522,#000000,#FF0000,True
308,Rectangle,196.20855793203447,177.83515654020283,10.0,5.0,-167.2070942556733,#000000,#FF0000,True
307,Rectangle,206.75128890334219,180.97059288957774,10.0,5.0,-159.18330384816474,#000000,#FF0000,True
306,Rectangle,216.10795260427182,188.47382089956074,10.0,5.0,-132.80506885989507,#000000,#FF0000,True
720,Rectangle,201.79141914656964,155.61331274725023,10.0,10.0,-168.85640618081445,#000000,#FF0000,True
721,Rectangle,190.38482334614372,153.65277392953567,10.0,10.0,-175.90224500774104,#000000,#FF0000,True
722,Rectangle,177.93569552821413,154.29968857783234,10.0,10.0,174.362093632618,#000000,#FF0000,True
723,Rectangle,166.09878412583208,155.40414307856406,10.0,10.0,168.8881470803847,#000000,#FF0000,True
724,Rectangle,154.8813367486332,158.54194864570792,10.0,10.0,162.6889022133051,#000000,#FF0000,True
725,Rectangle,143.129216212534,161.61126747228252,10.0,10.0,157.99051632375074,#000000,#FF0000,True
726,Rectangle,132.91552068878875,166.16227465890375,10.0,10.0,152.72024696427664,#000000,#FF0000,True
727,Rectangle,123.66459158416939,173.13479504210312,10.0,10.0,144.0449575075824,#000000,#FF0000,True
728,Rectangle,115.25820572904976,181.584576774864,10.0,10.0,133.16170336086046,#000000,#FF0000,True
27,Triangle,213.57659725221106,159.8000126134296,10.0,10.0,-72.0,#000000,#FF0000,True
741,Rectangle,230.84871895352694,186.29526480954632,10.0,10.0,-42.0,#000000,#FF0000,True
745,Rectangle,239.42942612830552,178.27427222374615,10.0,10.0,-122.38560161518151,#000000,#FF0000,True
746,Rectangle,230.64627001436276,170.26277681626038,10.0,10.0,-127.1761913608662,#000000,#FF0000,True
747,Rectangle,223.09267839741534,161.96311648207228,10.0,10.0,-133.27811156720142,#000000,#FF0000,True
748,Rectangle,217.00842795004627,152.30026651665088,10.0,10.0,-126.6734293989322,#000000,#FF0000,True
749,Rectangle,209.05124531153416,143.45605524531686,10.0,10.0,-140.3198029609645,#000000,#FF0000,True
750,Rectangle,199.5986512463142,136.18633330807165,10.0,10.0,-142.6424050839918,#000000,#FF0000,True
751,Rectangle,190.36444686351973,129.16649860662045,10.0,10.0,-148.63672124314704,#000000,#FF0000,True
752,Rectangle,179.7315795172142,123.74632116699536,10.0,10.0,-158.26310220954392,#000000,#FF0000,True
753,Rectangle,168.53216094384652,121.08447012918623,10.0,10.0,-170.26503830488866,#000000,#FF0000,True
