Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
453,Rectangle,72.89456176480215,153.73191664792245,10.0,10.0,132.40269659009545,#000000,#FF0000,True
452,Rectangle,80.86979666498988,145.75222053171632,10.0,10.0,126.96272584484362,#000000,#FF0000,True
451,Rectangle,90.10118642035525,137.8690482862724,10.0,10.0,144.88703514177908,#000000,#FF0000,True
450,Rectangle,100.42182922443152,131.76275903084792,10.0,10.0,160.69711123670805,#000000,#FF0000,True
449,Rectangle,110.87752357832085,128.79890276806702,10.0,10.0,162.42638451953803,#000000,#FF0000,True
448,Rectangle,121.975502628105,125.73239776559211,10.0,10.0,169.5425069993929,#000000,#FF0000,True
447,Rectangle,133.69645810950237,124.92102368787516,10.0,10.0,179.70052357456905,#000000,#FF0000,True
446,Rectangle,144.83320749941714,124.9580238629971,10.0,10.0,-184.99148535258783,#000000,#FF0000,True
445,Rectangle,156.8228165174765,126.78504119147584,10.0,10.0,-169.94628636769335,#000000,#FF0000,True
444,Rectangle,168.24969242988044,130.41483729533724,10.0,10.0,-154.97337268636713,#000000,#FF0000,True
443,Rectangle,177.53252685072835,138.2052262089016,10.0,10.0,-139.18533164024598,#000000,#FF0000,True
414,Rectangle,81.77845280064395,186.46874661027442,5.0,10.0,53.0,#000000,#FF0000,True
413,Rectangle,76.53306451714758,178.04530940483244,10.0,10.0,-32.0,#000000,#FF0000,True
412,Rectangle,76.8493405478122,169.0956460470149,5.0,10.0,59.0,#000000,#FF0000,True
411,Rectangle,85.98292819297859,172.26541558345986,10.0,10.0,-28.0,#000000,#FF0000,True
410,Rectangle,81.79126608888683,160.5584204979466,10.0,10.0,34.0,#000000,#FF0000,True
408,Rectangle,94.93599729387788,166.2540291087529,5.0,10.0,-25.0,#000000,#FF0000,True
405,Rectangle,90.82815926325446,152.38287373395485,10.0,10.0,20.0,#000000,#FF0000,True
17,Triangle,96.96126778767967,152.47579962068846,10.0,10.0,154.0,#000000,#FF0000,True
402,Rectangle,107.87065197192578,148.59281512030628,5.0,10.0,-19.0,#000000,#FF0000,True
401,Rectangle,113.23589902506757,145.64334747537816,10.0,10.0,-18.0,#000000,#FF0000,True
400,Rectangle,124.29640269354792,142.6938798304501,10.0,10.0,-12.0,#000000,#FF0000,True
399,Rectangle,135.8484843028495,141.95651291921803,10.0,10.0,0.0,#000000,#FF0000,True
398,Rectangle,147.03188245653507,142.32519637483415,10.0,10.0,6.0,#000000,#FF0000,True
397,Rectangle,170.54683942664764,151.17359930961845,5.0,10.0,115.0,#000000,#FF0000,True
396,Rectangle,158.33817509542604,144.78308607894087,10.0,10.0,18.0,#000000,#FF0000,True
395,Rectangle,179.47602655074394,155.22911732139437,10.0,10.0,-58.0,#000000,#FF0000,True
394,Rectangle,85.89580374196677,191.23672588896352,5.0,10.0,45.0,#000000,#FF0000,True
393,Rectangle,90.32251895120984,195.2418491735167,5.0,10.0,45.0,#000000,#FF0000,True
392,Rectangle,95.17082608514272,199.03617649572527,5.0,10.0,45.0,#000000,#FF0000,True
16,Triangle,98.67870938957242,204.7641887826278,10.0,10.0,-46.0,#000000,#FF0000,True
