Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
390,Rectangle,263.60537865420685,513.0071873660789,5.0,10.0,3.0,#000000,#FF0000,True
389,Rectangle,269.6657625716232,510.98705939360707,5.0,10.0,1.0,#000000,#FF0000,True
388,Rectangle,275.8069516079382,510.82544915580945,5.0,10.0,1.0,#000000,#FF0000,True
387,Rectangle,249.76434791995348,492.5786746826973,10.0,10.0,-38.0,#000000,#FF0000,True
386,Rectangle,258.16980178579615,500.35938201514,10.0,10.0,-46.0,#000000,#FF0000,True
384,Rectangle,270.75664453216683,505.2110667669958,10.0,5.0,-180.78259495401397,#000000,#FF0000,True
383,Rectangle,281.651669176007,506.34239627218636,10.0,5.0,171.3401394940083,#000000,#FF0000,True
382,Rectangle,292.39838382150805,503.4052276310179,10.0,5.0,156.48843023820152,#000000,#FF0000,True
381,Rectangle,301.2547423726941,496.5425542253314,10.0,5.0,140.12410897578224,#000000,#FF0000,True
380,Rectangle,310.4530167732133,490.61422888179953,10.0,5.0,149.07421283248956,#000000,#FF0000,True
379,Rectangle,320.793919716319,486.9714528546446,10.0,5.0,153.2762521541296,#000000,#FF0000,True
378,Rectangle,330.8392825765285,483.02519788153336,10.0,5.0,160.07441934181546,#000000,#FF0000,True
372,Rectangle,316.34108593576616,482.87514935756377,5.0,5.0,16.0,#000000,#FF0000,True
15,Triangle,327.0381672478471,478.1844254543187,10.0,10.0,26.0,#000000,#FF0000,True
371,Rectangle,258.8804658716613,486.3030689028765,5.0,10.0,-29.0,#000000,#FF0000,True
370,Rectangle,266.64020129711173,494.2461051651485,5.0,10.0,-47.0,#000000,#FF0000,True
369,Rectangle,275.2963994232687,498.72877007440326,5.0,5.0,-10.0,#000000,#FF0000,True
367,Rectangle,281.5500129728344,501.0475256601973,5.0,5.0,-10.0,#000000,#FF0000,True
365,Rectangle,289.6969255908611,496.1546401609787,5.0,10.0,73.0,#000000,#FF0000,True
364,Rectangle,303.7778732738192,486.3921573799086,5.0,10.0,49.0,#000000,#FF0000,True
363,Rectangle,297.55587911860516,494.30610034613386,5.0,5.0,46.0,#000000,#FF0000,True
358,Rectangle,308.23265955320613,478.657941802853,5.0,10.0,103.0,#000000,#FF0000,True
357,Rectangle,315.9231251341693,470.96244610323816,5.0,10.0,7.0,#000000,#FF0000,True
356,Rectangle,305.0597953281352,469.4756319154988,10.0,10.0,2.0,#000000,#FF0000,True
355,Rectangle,306.04967351902434,460.7325093162195,5.0,10.0,93.0,#000000,#FF0000,True
351,Rectangle,291.02540774265975,462.7632823237235,5.0,5.0,-6.0,#000000,#FF0000,True
350,Rectangle,279.87760394027237,487.09443060095543,5.0,10.0,73.0,#000000,#FF0000,True
349,Rectangle,287.745387526121,486.93879913185253,5.0,5.0,-16.0,#000000,#FF0000,True
348,Rectangle,270.10956827099943,484.8693904582269,5.0,10.0,63.0,#000000,#FF0000,True
347,Rectangle,280.18691605783675,480.69097796124584,5.0,10.0,73.0,#000000,#FF0000,True
