Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
3920,Small,438.05673906595325,779.6657455627578,5.0,10.0,-49.0,#936eac,#e87d46,True
3919,Small,432.18590509358637,773.3698800832074,5.0,10.0,35.0,#936eac,#d9505b,True
3918,Small,422.7197832853201,768.6351259720968,10.0,10.0,34.0,#936eac,#d9505b,True
3917,Small,420.576162085838,755.3763654419968,5.0,10.0,129.0,#936eac,#d9505b,True
3916,Small,413.5547414442367,762.4028975201605,10.0,10.0,36.0,#936eac,#d9505b,True
3913,Small,388.31677597019063,740.6577157953196,15.0,15.0,34.0,#936eac,#d9505b,True
3912,Small,401.66979629110165,749.531304983661,15.0,15.0,34.0,#936eac,#d9505b,True
3899,Small,332.912938455196,693.1504428316389,15.0,15.0,44.40688387529519,#16249a,#653979,True
3894,Small,447.43434572921484,798.0120438851668,15.0,15.0,26.911017507331792,#16249a,#2f563c,True
3893,Small,432.99700537865647,790.4531645145069,15.0,15.0,29.847434191349105,#16249a,#653979,True
3892,Small,419.3899725359329,781.6282353474685,15.0,15.0,34.69904404319907,#16249a,#2f563c,True
3891,Small,405.77052455730376,772.3080041914831,15.0,15.0,35.93412148788614,#16249a,#2f563c,True
3890,Small,392.16414729336594,763.2950797966839,15.0,15.0,34.07490281249123,#16249a,#2f563c,True
3889,Small,378.8722063947846,753.7161632725662,15.0,15.0,36.25894670762098,#16249a,#2f563c,True
3888,Small,365.3963518179755,744.520225066046,15.0,15.0,36.93387209303872,#16249a,#2f563c,True
3887,Small,352.15443689353094,734.6852186032477,15.0,15.0,36.8556038217827,#16249a,#1d1c21,True
3886,Small,339.0386824981722,724.3386909343507,15.0,15.0,42.792736907936636,#16249a,#1d1c21,True
3885,Small,327.66514586601954,711.9986600831049,15.0,15.0,46.456024028079504,#16249a,#1d1c21,True
3884,Small,316.9065570177988,699.5601708226806,15.0,15.0,50.385734679914336,#16249a,#1d1c21,True
3846,Small,224.68054303247482,490.05152702205345,5.0,10.0,69.0,#16249a,#2f563c,True
3845,Small,217.41472127511173,481.68078880719776,10.0,10.0,-40.0,#16249a,#a21818,True
3844,Small,212.32859497933117,474.2754276484754,5.0,10.0,-39.0,#16249a,#2f563c,True
3843,Small,206.75232179109662,460.6651985412119,10.0,10.0,-50.0,#16249a,#a21818,True
3842,Small,215.32469092645601,467.410669336249,10.0,10.0,-46.0,#16249a,#2f563c,True
3840,Small,211.75888315342985,515.8508138469078,15.0,15.0,-20.0,#16249a,#1d1c21,True
3839,Small,196.6139520391008,433.2692265846183,7.5,7.5,-14.0,#16249a,#2f563c,True
3838,Small,191.0007228193161,417.6266844446523,7.5,15.0,-17.0,#16249a,#2f563c,True
3837,Small,321.94261057306323,680.2634378225556,15.0,15.0,52.54799173481121,#16249a,#d9505b,True
3836,Small,312.1241431510227,667.570982734662,15.0,15.0,51.86069782218333,#16249a,#d9505b,True
3835,Small,302.62662232107675,654.6368432519268,15.0,15.0,52.93776353603869,#16249a,#d9505b,True
3834,Small,293.95894391559875,641.4548088644497,15.0,15.0,52.59561718106322,#16249a,#d9505b,True
3833,Small,284.12448105566733,628.690465698145,15.0,15.0,54.08370912252751,#16249a,#a21818,True
3832,Small,274.8576998041874,615.8625606849371,15.0,15.0,54.92203500558677,#16249a,#d9505b,True
3831,Small,265.6100423562098,602.6200822852669,15.0,15.0,56.5445374466994,#16249a,#a21818,True
3830,Small,256.7863972003955,588.9278698666777,15.0,15.0,59.92581377779651,#16249a,#a21818,True
3829,Small,249.13238118481894,574.4381262946013,15.0,15.0,65.10234516064911,#16249a,#653979,True
3828,Small,242.48545556939337,559.7825352438554,15.0,15.0,67.74860880888642,#16249a,#d9505b,True
3827,Small,236.67923933661038,544.6745382192611,15.0,15.0,71.65517734141623,#16249a,#d9505b,True
3826,Small,232.3667982785812,528.9884747605043,15.0,15.0,76.23609608201053,#16249a,#653979,True
3825,Small,227.6955202087657,513.1178766154021,15.0,15.0,71.7976497060878,#16249a,#d9505b,True
3824,Small,222.6040013592168,497.76263216913355,15.0,15.0,69.95812126379641,#16249a,#2f563c,True
3818,Small,187.77127302058054,400.9626461866605,15.0,15.0,79.62082824821748,#16249a,#2f563c,True
3817,Small,185.9041906136401,384.8154739426933,15.0,15.0,84.47096519988526,#16249a,#2f563c,True
3816,Small,184.4500050607326,368.17413159694013,15.0,15.0,87.56067901284636,#16249a,#2f563c,True
