Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
1463,Small,429.89942727772825,649.734989913106,5.0,5.0,-28.0,#1d1c21,,False
54,Triangle,418.47854215129166,656.3417268130099,10,10,98.0,#1d1c21,,False
1462,Small,414.75250774013296,653.8327278711998,5.0,10.0,-37.0,#1d1c21,,False
1461,Small,420.6997644910905,647.5137675733071,5.0,10.0,-85.0,#1d1c21,,False
1459,Small,405.6547697820392,659.7799846221576,10.0,10.0,46.0,#1d1c21,,False
53,Triangle,397.3843658627385,667.6786849945229,10,10,142.0,#1d1c21,,False
1457,Small,481.59658325437636,642.586100040246,5.0,10.0,-13.0,#1d1c21,,False
1455,Small,470.935016446758,645.5815750313587,10.0,10.0,-9.766918723640032,#1d1c21,,False
1454,Small,459.8042921747628,647.8768444336812,10.0,10.0,-16.736011214119422,#1d1c21,,False
1453,Small,442.41721045430035,655.2225386791852,10.0,10.0,-19.802513953935453,#1d1c21,,False
1451,Small,430.8336157035073,655.5228198207143,10.0,10.0,-11.450249068656138,#1d1c21,,False
1447,Small,521.0253402501461,645.0104288881971,10.0,5.0,-25.21792214764552,#1d1c21,#1d1c21,True
1446,Small,510.7385749482438,649.9913147497808,10.0,5.0,-26.7897669800243,#1d1c21,#1d1c21,True
1445,Small,499.67552433645767,652.7745073401001,10.0,5.0,-6.975655172812262,#1d1c21,,False
1444,Small,477.37918350262356,656.060481967568,10.0,5.0,-7.094730491590144,#1d1c21,#1d1c21,True
1443,Small,466.0000104678728,657.4046808140971,10.0,5.0,-12.713632163272777,#1d1c21,#1d1c21,True
1442,Small,455.3023522469017,661.3267444671205,10.0,5.0,-19.93955767329607,#1d1c21,#1d1c21,True
1441,Small,444.8162789843477,665.7292836014747,10.0,5.0,-15.780753309515509,#1d1c21,#1d1c21,True
1440,Small,433.53019530503724,666.9564483086481,10.0,5.0,-4.213972985070658,#1d1c21,#1d1c21,True
1439,Small,422.1552780395421,669.3451011775205,10.0,5.0,-16.764519944303153,#1d1c21,#1d1c21,True
1438,Small,412.351247149082,675.270222090721,10.0,5.0,-34.98920093610019,#1d1c21,#1d1c21,True
1437,Small,401.35959106421734,678.8178493113137,10.0,5.0,-44.91905526466504,#1d1c21,#1d1c21,True
1436,Small,390.3234782849368,680.2368162606256,10.0,5.0,6.626233638669343,#1d1c21,#1d1c21,True
1421,Small,442.7587056255396,639.9813669067586,5.0,10.0,63.0,#1d1c21,,False
1420,Small,434.9055007071657,646.615248013354,5.0,5.0,-24.0,#1d1c21,,False
1419,Small,443.993642970751,623.6406386796931,5.0,10.0,157.0,#1d1c21,,False
52,Triangle,440.77908016918485,606.0287565941172,10,10,60.0,#1d1c21,,False
1414,Small,438.18073059049823,611.2851823437597,10.0,10.0,103.96375653206123,#1d1c21,,False
1412,Small,416.43114725901853,547.4450850864343,5.0,10.0,15.0,#1d1c21,,False
1411,Small,422.7909368683944,546.0317985065733,5.0,10.0,15.0,#1d1c21,,False
1409,Small,404.57238260181083,548.3522703413269,10.0,10.0,-2.1691318465723715,#1d1c21,,False
1408,Small,392.86301829432136,547.3485238708126,10.0,10.0,12.094757077012567,#1d1c21,,False
1407,Small,423.20554000847795,555.0208030795368,5.0,10.0,77.0,#1d1c21,,False
1406,Small,441.5104947233612,546.6291390779799,5.0,10.0,21.0,#1d1c21,,False
1405,Small,429.619036705707,546.8769214657514,10.0,10.0,-160.92430538390414,#1d1c21,,False
1404,Small,448.13477444309325,549.1178413331111,10.0,10.0,-150.6414476229395,#1d1c21,,False
1403,Small,458.2794530847637,555.2394969309304,10.0,10.0,-143.24934417890614,#1d1c21,,False
1402,Small,466.925546703324,563.3847859768185,10.0,10.0,-130.2322943859572,#1d1c21,,False
1401,Small,472.69962523299847,573.933786628576,10.0,10.0,-113.37300514010772,#1d1c21,,False
51,Triangle,446.4086024587048,555.6578708679714,10,10,-106.0,#1d1c21,,False
1400,Small,461.54808162382494,576.778378839065,10.0,10.0,-26.0,#1d1c21,,False
50,Triangle,457.62303146990496,565.5639498278648,10,10,-108.0,#1d1c21,,False
1399,Small,370.3360289399892,488.53783654097816,10.0,10.0,-20.0,#1d1c21,,False
1398,Small,360.7992739887,490.06534351449216,5.0,10.0,67.0,#1d1c21,,False
1397,Small,376.31704690470224,526.752160947419,5.0,10.0,69.0,#1d1c21,,False
1396,Small,390.0002886613941,557.6921334837687,5.0,10.0,17.0,#1d1c21,,False
